IPV6央视,#genre#
CCTV-5 体育,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225801/index.m3u8
CCTV-5 体育,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226274/index.m3u8
CCTV-5+ 体育赛事,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225712/index.m3u8
CCTV-5+ 体育赛事,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225998/index.m3u8
CCTV-6 电影,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
CCTV-6 电影,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225936/index.m3u8
CCTV-7 国防军事,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225700/index.m3u8
CCTV-7 国防军事,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225892/index.m3u8
CCTV-8 电视剧,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
CCTV-8 电视剧,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226001/index.m3u8
CCTV-9 记录,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
CCTV-9 记录,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225939/index.m3u8
CCTV-10 科教,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225704/index.m3u8
CCTV-10 科教,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226004/index.m3u8
CCTV-11 戏曲,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
CCTV-12 社会与法,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225645/index.m3u8
CCTV-12 社会与法,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226013/index.m3u8
CCTV-13 新闻,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
CCTV-13 新闻,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225759/index.m3u8
CCTV-13 新闻,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226276/index.m3u8
CCTV-13 新闻,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226046/index.m3u8
CCTV-14 少儿,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225901/index.m3u8
CCTV-14 少儿,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225648/index.m3u8
CCTV-15 音乐,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225945/index.m3u8
CCTV-16 奥林匹克,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225956/index.m3u8
CCTV-16 奥林匹克,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226282/index.m3u8
CCTV-17 农业农村,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225766/index.m3u8
CETV1,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225776/index.m3u8
CETV4,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225723/index.m3u8
CGTN,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225707/index.m3u8
CGTN,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225816/index.m3u8
卫视（移动）,#genre#
北京卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225889/index.m3u8
北京卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225651/index.m3u8
广东卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
广东卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225913/index.m3u8
广东珠江,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
大湾区卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225748/index.m3u8
深圳卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225725/index.m3u8
深圳卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225951/index.m3u8
浙江卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
浙江卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225928/index.m3u8
东方卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225718/index.m3u8
东方卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225942/index.m3u8
东南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225904/index.m3u8
安徽卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225886/index.m3u8
湖南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225719/index.m3u8
湖南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225919/index.m3u8
湖北卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225721/index.m3u8
湖北卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225954/index.m3u8
江苏卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225722/index.m3u8
江苏卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226025/index.m3u8
广西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225767/index.m3u8
广西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225986/index.m3u8
广西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226289/index.m3u8
贵州卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225770/index.m3u8
河北卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225773/index.m3u8
重庆卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225745/index.m3u8
重庆卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225898/index.m3u8
山东卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
山东卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
山东教育卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225708/index.m3u8
海南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225752/index.m3u8
陕西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225754/index.m3u8
天津卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225675/index.m3u8
天津卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226022/index.m3u8
吉林卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225678/index.m3u8
青海卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225705/index.m3u8
四川卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225757/index.m3u8
江西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225957/index.m3u8
内蒙古卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225751/index.m3u8
甘肃卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225764/index.m3u8
辽宁卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225779/index.m3u8
辽宁卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
宁夏卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225782/index.m3u8
山西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225785/index.m3u8
新疆卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225788/index.m3u8
云南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225794/index.m3u8
西藏卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225800/index.m3u8
河南卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225806/index.m3u8
厦门卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225823/index.m3u8
兵团卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225795/index.m3u8
延边卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226273/index.m3u8
三沙卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226315/index.m3u8
康巴卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226270/index.m3u8
安多卫视,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226271/index.m3u8
广西地区,#genre#
广西都市,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226295/index.m3u8
南宁新闻综合,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226281/index.m3u8
南宁文旅生活,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226288/index.m3u8
南宁影视娱乐,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226291/index.m3u8
南宁公共,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226301/index.m3u8
崇左综合,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226284/index.m3u8
来宾综合,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226290/index.m3u8
贺州综合,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226296/index.m3u8
玉林新闻综合,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226299/index.m3u8
玉林公共,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226319/index.m3u8
白色综合,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226322/index.m3u8
河池教育,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226305/index.m3u8
新闻综合,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226300/index.m3u8
新闻综合,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226309/index.m3u8
公共频道,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
公共频道,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226297/index.m3u8
科教生活,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226303/index.m3u8
科教旅游,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226293/index.m3u8
新闻综合,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226294/index.m3u8
经济科教,http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226308/index.m3u8
咪咕移动,#genre#
CCTV1,http://39.134.66.66/PLTV/88888888/224/3221225816/index.m3u8
CCTV2,http://39.134.66.66/PLTV/88888888/224/3221225599/index.m3u8
CCTV3,http://39.134.66.66/PLTV/88888888/224/3221225799/index.m3u8
CCTV4,http://39.134.66.66/PLTV/88888888/224/3221225797/index.m3u8
CCTV5,http://39.134.66.66/PLTV/88888888/224/3221225818/index.m3u8
CCTV5+,http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8
CCTV6,http://39.134.66.66/PLTV/88888888/224/3221225814/index.m3u8
CCTV7,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV8,http://39.134.66.66/PLTV/88888888/224/3221225795/index.m3u8
CCTV9,http://39.134.66.66/PLTV/88888888/224/3221225676/index.m3u8
CCTV10,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV11,http://39.134.66.66/PLTV/88888888/224/3221225517/index.m3u8
CCTV12,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV13,http://39.134.66.66/PLTV/88888888/224/3221225812/index.m3u8
CCTV14,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV15,http://39.134.66.66/PLTV/88888888/224/3221225513/index.m3u8
CCTV17,http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8
CGTN,http://39.134.66.66/PLTV/88888888/224/3221225510/index.m3u8
CGTN纪录,http://39.134.66.66/PLTV/88888888/224/3221225509/index.m3u8
北京卫视,http://39.134.66.66/PLTV/88888888/224/3221225678/index.m3u8
重庆卫视,http://39.134.66.66/PLTV/88888888/224/3221225502/index.m3u8
东方卫视,http://39.134.66.66/PLTV/88888888/224/3221225672/index.m3u8
东南卫视,http://39.134.66.66/PLTV/88888888/224/3221225500/index.m3u8
甘肃卫视,http://39.134.66.66/PLTV/88888888/224/3221225584/index.m3u8
贵州卫视,http://39.134.66.66/PLTV/88888888/224/3221225576/index.m3u8
海南卫视,http://39.134.66.66/PLTV/88888888/224/3221225530/index.m3u8
河北卫视,http://39.134.66.66/PLTV/88888888/224/3221225495/index.m3u8
湖北卫视,http://39.134.66.66/PLTV/88888888/224/3221225569/index.m3u8
湖南金鹰卡通,http://39.134.66.66/PLTV/88888888/224/3221225561/index.m3u8
湖南卫视,http://39.134.66.66/PLTV/88888888/224/3221225506/index.m3u8
江苏卫视,http://39.134.66.66/PLTV/88888888/224/3221225503/index.m3u8
辽宁卫视,http://39.134.66.66/PLTV/88888888/224/3221225499/index.m3u8
内蒙古卫视,http://39.134.66.66/PLTV/88888888/224/3221225577/index.m3u8
宁夏卫视,http://39.134.66.66/PLTV/88888888/224/3221225579/index.m3u8
青海卫视,http://39.134.66.66/PLTV/88888888/224/3221225573/index.m3u8
山西卫视,http://39.134.66.66/PLTV/88888888/224/3221225496/index.m3u8
陕西卫视,http://39.134.66.66/PLTV/88888888/224/3221225567/index.m3u8
深圳卫视,http://39.134.66.66/PLTV/88888888/224/3221225668/index.m3u8
天津卫视,http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8
西藏卫视,http://39.134.66.66/PLTV/88888888/224/3221225570/index.m3u8
新疆卫视,http://39.134.66.66/PLTV/88888888/224/3221225582/index.m3u8
浙江卫视,http://39.134.66.66/PLTV/88888888/224/3221225514/index.m3u8
